Topic,Count,Name,Representation,Representative_Docs
202,27,202_business_companies_founders_startups,"['business', 'companies', 'founders', 'startups', 'disabledinstem', 'fairmined', 'homelessness', 'small', 'nutritious', 'poverty']","['This feed collects posts on poverty, hunger, homelessness, housing assistance, and food insecurity, primarily focused on the United States. // Made at BlueskyFeeds.com', 'This feed collects posts about ethical and sustainable jewelry practices, including responsible sourcing of materials like Fairmined certified gold. Hoping to help conscious consumers find transparent & responsible jewelry brands. #sustainablejewelry #ethicaljewelry #fairmined', 'Growth tips & insights for small business owners & entrepreneurs in Canada. Discover strategies in web design, SEO, and AI tools to expand your online presence.\r\n\r\n🚀 Small Biz Growth & Success 📈 Business Insights & Tips 🌐 Grow Your Biz Online brought to you by WebMaxSEO.com']"
203,27,203_wasps_moths_moth_mothmay,"['wasps', 'moths', 'moth', 'mothmay', 'vc55', 'neuropterida', 'lacewings', 'arthropods', 'insect', 'hndrfa']","['Wasps, Ants, Bees, and Sawflies. Sometimes also bugs that have been parasitised by wasps, or want to look like wasps. Because everyone knows wasps are the best.', 'The feed for moths from VC55 Leicestershire and Rutland. Just include #vc55moths in your post, and lets please keep this to moths and moth recording from VC55 only.', 'A feed for  lacewings and allied insects.  All Neuropterida are welcome including Neuroptera (lacewings including antlions, waxflies etc.), Megaloptera (alderflies) and Rhaphidioptera (snakeflies).  Also Mecoptera (Scorpionflies & Snow Flea) as previously grouped with Neuropterida.']"
204,27,204_cilia_moral_trump_herb,"['cilia', 'moral', 'trump', 'herb', 'herbalmedicine', 'osm24', 'herbalist', 'botanicalmedicine', 'sky', 'enthusiasm']","[""Dear cilia enthusiasts - here's an attempt to create a feed to collect interesting content about ciliated organisms (ciliates, choanoflagellates, ctenophores...), cilia biology, and ciliopathies.\n\nTag your post with #cilia to ensure it appears in the feed. (Refer to euk. flagella as cilia please!)"", 'Herb nerds, unite! Photos and discussion of medicinal plants. Contribute by using the hashtags #herbs, #herbalist, #herbalmedicine, or #botanicalmedicine', 'Herb nerds, unite! Photos and discussion of medicinal plants. Contribute by using the hashtags #herbs, #herbalist, #herbnerds, #herbalmedicine, #botanicalmedicine, or #🌱']"
205,27,205_fursuit_live2d_photos_modemfuratronopticalmodem,"['fursuit', 'live2d', 'photos', 'modemfuratronopticalmodem', 'plushie', 'pics', 'fursuits', 'plushies', 'respectful', 'pictures']","['All of my fursuit pics!!', ""Feed of DrowsySeal's fursuit photos"", 'Photos of my fursuit!']"
206,26,206_alert_news_aviation_archives,"['alert', 'news', 'aviation', 'archives', 'congress', 'guess', 'caitiesithbskysocial', 'constituent', 'hushhush', 'reconstruction']","['Posts linking to archives. (Internet Archive, Library of Congress, National Archives)', 'A feed for content about the United Kingdom (UK) and constituent countries:\n- England\n- Scotland\n- Wales\n- Northern Ireland', 'Feed of posts with the phrase ""new publication alert"" to, well, alert of new publications, I guess.']"
207,26,207_personal_use_saoirse_curation,"['personal', 'use', 'saoirse', 'curation', 'rent', 'heads', 'ups', 'stuck', 'convenience', 'purpose']","['For my personal use.', 'For my personal use.', 'For my personal use.']"
208,26,208_tot_art_rat_my,"['tot', 'art', 'rat', 'my', 'all', 'the', 'of', '', '', '']","['All my art!', 'All my art!', 'All my art!']"
209,26,209_search_pinball_link_dataviszvisualiszation,"['search', 'pinball', 'link', 'dataviszvisualiszation', 'hamm', 'jeffws', 'httpsawakaricomsubdetailshtmlidsemanticsearch', 'stereo', 'whered', 'urlentirenet24h']","['One search', 'search ”曦瑶”', 'And Search']"
210,26,210_gposes_bators_bator_popperbator,"['gposes', 'bators', 'bator', 'popperbator', 'wolposting', 'bate', 'gooners', 'ship', 'course', 'captainpicardday']","['only the gposes', 'All the gposes ✧', 'All of my GPOSEs!']"
211,26,211_searching_entire_matching_network,"['searching', 'entire', 'matching', 'network', 'last', 'jamaican', 'days', 'netflix', 'jamaicanfood', 'flutterdev']","['Searching entire network for just posts, from last 7 days, matching most things Jamaican food (Jamaicanfood).', 'Searching entire network for only posts from the last 7 days related to crypto technology.', 'Searching entire network, for only posts from the last 7 days, matching results related to natural building.']"
212,25,212_berlin_bikes_riding_pib,"['berlin', 'bikes', 'riding', 'pib', 'wide', 'bskyberlin', 'wwwphotographyinberlin', 'participate', 'halifax', 'italy']","['Photofestivals worldwide, curated by PiB ⸺ Photography in Berlin. Feel free to share this feed & DM us if you’d like to participate. www.photography-in.berlin', 'Art Galleries in Berlin (Germany), curated by PiB ⸺ Photography in Berlin. DM us if you’d like to participate. https://www.photography-in.berlin', 'Latest posts and discussions about Berlin.']"
213,25,213_httpskarnodevnoctilucent_distractive_register_mania,"['httpskarnodevnoctilucent', 'distractive', 'register', 'mania', 'kshoot', 'playstation4', 'playstation5', 'swimsuit', 'nintendoswitch', 'external']","['あなたのホームタイムラインから画像、引用、外部リンクカードを消し去ります。利用には https://karno.dev/noctilucent への登録が必要です。 / Your home without distractive images, quotes, external link cards. You need to register at https://karno.dev/noctilucent to use this feed.', '日本語圏のVtuberの「おはよう」と「おやすみ」をまとめたfeedです。feedをピン留めして新しい出会いや推し活にご利用ください。既存のものがあったらすいません💦\n\nThis is a feed of ""Good morning."" and ""Good night."" of Japanese-speaking Vtubers. please pin the feed and use it for new encounters and guessing activities. Sorry if there are any existing ones💦', 'NintendoSwitch / PlayStation5 / PlayStation4 / Xbox / Steamに関するセール情報のフィード\n\nFeed of sale information about NintendoSwitch / PlayStation5 / PlayStation4 / Xbox / Steam']"
214,25,214_japanese_toram_singer_gitaroo,"['japanese', 'toram', 'singer', 'gitaroo', 'ayunga', 'chimeral', 'wuthering', 'waves', 'languages', 'count']","['IN THE WAKE of the extraordinary Chimeral Crisis is the bustling, metropolitan jewel of Tenpei City -- and one Jingwei Chimeral Consultancy.\n\nWelcome to the City on the Sea.\n\n==\n#TCXX\n\nOC RP verse | semi-open.\nvintage, mystery, supernatural', 'Posts about Ayunga, handsome Mongolian theatre actor and singer.\n\nFeed searches for Ayunga, 阿云嘎, Аянга, อาหยุนกา, 嘎子 (but *not* for Ayanga or Gazi because both create too many false alarms.)', 'The feed of the 鳴潮 (Wuthering Waves) for all languages. Picks up related words in Japanese and Chinese and English character names with #. The author is Japanese, so please forgive the possibility that non-Japanese exclusions may not work.\n\n全言語に対応した鳴潮(Wuthering Waves)のフィードです。中国語と英語は「#名前」とタイトルだけ']"
215,25,215_bakunawa_fics_fic_soriku,"['bakunawa', 'fics', 'fic', 'soriku', 'sero', 'bakugou', 'mild', 'ao3', 'threads', 'thread']","[""A Feed of all Skee's fics/fic updates for easy viewing!"", 'Collection of my fics. \nSome fics will not load into this feed, but there will be a thread linking to those fics.', ""All of the art Bakunawa draws themself. Doesn't necessarily mean it's art OF Bakunawa. It could be a lot of other things such as fanart & OCs. Tag with #myart.""]"
216,25,216_dump_heehoo_niles_tee,"['dump', 'heehoo', 'niles', 'tee', 'hee', 'jojo', 'reside', 'freya', 'masterpieces', 'stacked']","[""my art, my masterpieces, my medias, my #art, Niles' Art"", 'My personal art dump, feel free to look around-', 'Just some art I made myself, tee hee :3c']"
217,25,217_vegan_gluten_vegetarian_recipes,"['vegan', 'gluten', 'vegetarian', 'recipes', 'recipe', 'plantbased', 'httpsbskydazzletools', 'query', 'veganism', 'celiac']","['This feed highlights posts that combine humor and vegan-related terms. It features vegan humor hashtags like #veganhumor and #veganmeme, along with posts pairing vegan keywords such as ""vegan"" or ""plant-based"" with humor-related words like ""funny,"" ""lol,"" or ""joke.""', 'Links to vegetarian and vegan recipes.', ""A catch all 'vegan' feed. If your posts contains the word vegan anywhere, it will appear.""]"
218,24,218_nude_boobs_regressors_fanvuecomsilora,"['nude', 'boobs', 'regressors', 'fanvuecomsilora', 'eveyone', 'onlyfanscomsiloralove', 'fanvue', 'nudes', 'cottagecore', 'shy']","['Exploring the world untamed—where nude hiking, nature, and the human spirit converge. From mountaintop musings to trails less traveled, this feed celebrates the freedom of being bare in the wild. #freehiker #nakedhiker #randonue #Nacktwandern and many terms in between', ""My Boobs & body Is the holy land\n🔥 I'm available on OnlyFans and Fanvue! 🔥\nFollow me for FREE and unlock exclusive premium content you won’t want to miss 😘💋\n\n👉 onlyfans.com/siloralove\n👉 fanvue.com/silora\n\nDon’t be shy… I’ve got something just for you 😏\n\nEveyone Share your Boobs Pics & Videos"", ""My Boobs & body Is the holy land\n🔥 I'm available on OnlyFans and Fanvue! 🔥\nFollow me for FREE and unlock exclusive premium content you won’t want to miss 😘💋\n\n👉 onlyfans.com/siloralove\n👉 fanvue.com/silora\n\nDon’t be shy… I’ve got something just for you 😏\n\nEveyone Share your Boobs Pics & Videos""]"
219,24,219_sights_rivers_cities_skeets,"['sights', 'rivers', 'cities', 'skeets', 'filtered', 'brownhills', 'hamburg', 'stuttgart', 'matches', 'river']","['Skeets about Mecklenburg-Vorpommern, filtered by cities, rivers, and sights.', 'Skeets about Schleswig-Holstein, filtered by cities, rivers, and sights', 'Skeets about Sacahsen-Anhalt, filtered by cities, rivers, and sights.']"
220,24,220_irish_ireland_cork_spirghorm,"['irish', 'ireland', 'cork', 'spirghorm', 'extra', 'gaelicksky', 'ge2024', 'election24', 'fianna', 'galway']","['Your Posts with extra Irish News', 'Your Posts with extra Irish News', 'Your Posts with extra Irish News']"
221,24,221_mindfulness_yoga_meditation_downward,"['mindfulness', 'yoga', 'meditation', 'downward', 'afm', 'balancing', 'achieve', 'courses', 'balanced', 'connection']","['Latest posts and discussions about Mindfulness.', 'A feed all about Mindfulness and Meditation', 'Yoga, Meditation, and Mindfulness. An uplifting space that is welcoming to all. Filtered for inappropriate content.']"
222,24,222_tattoo_tattoos_domzilla9bskysocial_indiana,"['tattoo', 'tattoos', 'domzilla9bskysocial', 'indiana', 'artists', 'studios', 'vancouver', 'kentucky', 'creator', 'added']","['- Tattoo Artists of Kentucky\n- The latest work from Kentucky Tattoo artists!\n\nMessage @domzilla9.bsky.social to be added to this list.', '- Tattoo Artists of Indiana\n- The latest work from Indiana Tattoo artists!\n\nMessage @domzilla9.bsky.social to be added to this list.', 'tattoo feed']"
223,24,223_minecraft_builds_panda3d_bungie,"['minecraft', 'builds', 'panda3d', 'bungie', 'smp', 'puzzles', 'center', 'server', 'destiny', 'fantasian']","[""Minecraft Sky with all of your Minecraft post. \n\nLet's share our love for Minecraft\nuse #Minecraft or the pick axe emoji ⛏️ to be in this feed"", 'This is a feed about Minecraft', 'Feed for Minecraft']"
224,24,224_progress_work_doublepenetration_soon,"['progress', 'work', 'doublepenetration', 'soon', 'works', 'dp', 'teasers', 'abandoned', 'document', 'broken']","['Work In Progress', 'work in progress', 'Work in progress...']"
225,23,225_guild_vtubers_wars_kobold,"['guild', 'vtubers', 'wars', 'kobold', 'vtuber', 'mmo', 'critically', 'joys', 'acclaimed', 'gathering']","['Experience Tyria in motion! Watch epic battles, cinematics, guides, and fan-made videos from «Guild Wars» and «Guild Wars 2». A fan-powered feed for all things «Guild Wars» and «Guild Wars 2» video.\r\n\r\nNot sponsored or affiliated with ArenaNet.\r\n\r\nPowered by Graze.social.', '🐉Monster Vtubers Feed🐉\n\nBe sure to follow me ⬆️ and like the feed to get updates on the coolest & latest Monster Vtubers posts. Click ""Pin to home"" to access it quickly!\n\nYour posts will show up here by using any text with ""Monster"" ""Kaiju"" or “Dinosaur” “Dragon” “Kobold” “Goblin” + “Vtuber""', 'This feed just searches if a post contains the words ""buizel"", ""floatzel"", ""chillet"", ""quivern"", ""top dungeon farmer"", ""aileen fritani"", ""kobold"", ""avali"", ""gligar"", ""gliscor"", ""scolipede"", and similar.\n\nI\'m deeply sorry if any NSFW or adjacent shows up. I\'m trying my best to filter it out.']"
226,23,226_oc_ocs_yes_october,"['oc', 'ocs', 'yes', 'october', 'duokhay', 'fanartoc', 'lobcorp', 'noncanon', 'nonscratchverse', 'romancefantasy']","['我個人的架空歷史題材繪畫合集, 涉及古代至近代的人和事以及不同國家和地區各階層的衣食住行.\r\nMy Alternate History OCs collection involves various people and events from ancient to modern times, as well as the daily necessities, food, housing and transportation of all classes in different countries and regions.\n\nBlueskyFeedCreator.com', 'a feed with all the OC art I post on here!', ""✦❘༻Welcome༺❘✦\nThese are my ocs designs and little creatures i like to make! I'll possibly add some snippets of info about them too.\n▸Fanart/Oc interaction? {YES!}\n▸Shipping/Fanfiction? {Yes, treat it as noncanon}\n▸Nsfw? {Only for adult characters}\nOverall respect my canon!""]"
227,23,227_httpsbskydazzletools_query_make_own,"['httpsbskydazzletools', 'query', 'make', 'own', 'btc', 'poe2', 'neurips', 'factorio', 'mangione', 'bitwig']","['query: #booksky\n\nmake your own feed at https://bsky.dazzle.tools', 'query: #art\n\nmake your own feed at https://bsky.dazzle.tools', 'query: btc\n\nmake your own feed at https://bsky.dazzle.tools']"
228,23,228_ai_gannets_antiai_generative,"['ai', 'gannets', 'antiai', 'generative', 'algorithmic', 'aiart', 'aiassisted', 'altenative', 'aiartworkcreativeaitx2imgpromptartaiartistsaiartcommunityaiartchallengegenaigenaichallengeaigirlgenerativeaiaigeneratedweekendshowcase', 'aiaiart']","['AI Art', 'Exactly what a gannet colony contains - gannets, gannets, and... well, more gannets.', 'About: My Best (AI)Art Style.\nPhilosoSynthesis: Ethical Thinking and Philosophy art.\nFlow Metaform: Integrates diverse streams of thought, resonating with mimicry and improvement, leading to aesthetic insights.']"
229,23,229_northwest_pacific_scbwi_monitored,"['northwest', 'pacific', 'scbwi', 'monitored', 'eastern', 'seattle', 'yakima', 'cascades', 'valley', 'example']","['Share photos of Puget Sound in the Pacific Northwest using below example tags. Regularly monitored for bots, spam, AI images, NSFW, and unrelated content.\n\n#pugetsound\n#whidbeyisland\n#tacomanarrows\n#kitsappeninsula\n#discoverypark', 'Share photos of North Cascades of Pacific Northwest from Highway 2 and upward, using below example tags. Regularly monitored for bots, spam, AI images, NSFW, and unrelated content.\n\n#nothcascades\n#stillaguamishriver\n#methowvalley\n#montecristo\n#pasaytenwilderness', ""Share photos of Washington State's South Cascades in the Pacific Northwest using below example tags. Regularly monitored for bots, spam, AI images, NSFW, and other unrelated content.\n\n#southcascades\n#mountrainier\n#goatrockswilderness\n#cayusepass\n#riffelake""]"
230,23,230_oc_lore_ocs_ocsky,"['oc', 'lore', 'ocs', 'ocsky', 'aquabluetoons', 'sunsetmartinis', 'aquablueocs', 'arlojekbskysocial', 'anis', 'adrimainocs']","['Feed of my Changeline Ola, a lore bard for the Sibylla Academy PBP', 'OC Related Feed', ""All my OC stuff. I have a site I'm slowly updating with world building and lore if you REALLY want to know more: https://mernolan.neocities.org/ \n\n#MersOCs • #OCSky • #OC\n\nCurrent worlds/stories tags: \n- Adventure Squad\n- Everking\n- TTRPG Characters\n- Merkavah\n- MafiaAU""]"
231,23,231_removes_drawn_draw_pacman,"['removes', 'drawn', 'draw', 'pacman', 'hobby', 'sticker', 'painting', 'without', 'face', 'drag']","['Some artists who draw (or have drawn) FFXVI related fanart. Removes all posts without images.\nAlso searches for terms: roscest, ジョシュクラ, 조슈클라.', 'Some artists who draw (or have drawn) furry or animal art. Removes all posts without images.', 'Some artists who draw (or have drawn) FFXIV related fanart. Removes all posts without images.']"
232,23,232_one_place_neat_wee,"['one', 'place', 'neat', 'wee', 'spot', 'emerge', 'encompasses', 'package', 'collate', 'art']","['all my art in one place', 'All my art in one place', 'all my art in one place']"
233,22,233_zhan_xiao_shen_untamed,"['zhan', 'xiao', 'shen', 'untamed', 'chimeral', 'boruto', 'yuan', 'kanji', 'jing', 'singer']","['Feed with weekly-themed posts of actor and singer Xiao Zhan under the hashtag #XiaoZhanAppreciationTuesday  (*case sensitive) ❤️', 'AU in which a Curio transported Dan Heng back into the past 700 years to meet younger Jing Yuan. \n\n#hengjing and #fengjing AU', 'A feed for wonderful actor & singer, Xiao Zhan 肖战, also known as Sean\xa0Xiao.\nAny post (text, image alt text, link) with xiao zhan or/ and 肖战 (not case sensitive) in it will appear here. 🥰']"
234,22,234_description_test_procedure_procedures,"['description', 'test', 'procedure', 'procedures', 'tps', 'describes', 'specification', 'assurance', 'particularly', 'document']","['Test Feed Description 📈', 'Test Feed Description 📈', 'Test Feed Description 🕒']"
235,22,235_reupload_training_yamatanochinkobskysocial_dorotoro3bskysocial,"['reupload', 'training', 'yamatanochinkobskysocial', 'dorotoro3bskysocial', 'artai', 'aido', 'prohibited', 'ai', 'do', 'reproduction']","['🔞NSFW🔞\u3000うちよそログ\n勅使河原 伊蔵🌩️（ @yamatanochinko.bsky.social ）\n×\n相良寿座🐌（ @dorotoro3.bsky.social  ）\n⚠️画像無断転載️禁止Do not reupload my art.\n⚠️ AI学習禁止Do not use my art for AI training.', 'かいたものをまとめている\n※無断転載禁止/AI学習禁止\n※Do not reupload my art./Do not use my art for AI training.', '自作の刀剣短歌をまとめています。\n無断転載盗用AI学習禁止。\nDo not use my art for AI training.\nDo not reupload my art.']"
236,22,236_ummm_sir_yeah_ok,"['ummm', 'sir', 'yeah', 'ok', 'youll', 'first', 'see', '', '', '']","['Ok.', 'sir,', 'Ummm... yeah.']"
237,22,237_tifa_tcg_chanyeol_spartan,"['tifa', 'tcg', 'chanyeol', 'spartan', 'pokemon', 'megami', 'shin', 'pmc', 'mwii', 'purplekiss']","['Shin Megami Tensei/Persona games feed.\n\nIncludes as many tags and acronyms as I could manage (such as #SMTV and #P3P) while filtering out as much nonsense as possible. I also threw in Metaphor ReFantazio because why not?\n\nBuilt with https://skyfeed.app/', ""This Tifa feed ('Tifeed') aggregates 'quality' 'tifa posts' with relevant 'text' ('tifa', 'tifa lockhart,' 'ティファ,' 'ティファ・ロックハート' ) and 'hash tags' (#tifa, #tifalockhart, #ティファ, #ティファ・ロックハート, #qualitytifacontent) while excluding as much 'stupid (gamer, ai, pervert, gacha, 'm:tg') shit' as possible."", 'Blorbo feed for my Call of Duty OC Universe dubbed Paragon PMC. MWII Warzone 2 divergent AU :)\nDuring the Events of MWII, Shadow Company got dismantled and was picked up by the next biggest PMC in line. Paragon.\nAfter errosion of trust through General Shepherd, Ghost Team+Laswel followed soon after.']"
238,22,238_ravens_mariners_eagles_brock,"['ravens', 'mariners', 'eagles', 'brock', 'flyeaglesfly', 'pittsburgh', 'nfl', 'lightning', 'jackets', 'tampa']","['A feed of Philadelphia Eagles posts, based on common hashtags.\nIncluded hashtags are FlyEaglesFly, GoBirds, and Eagles as well as PHIvs{x} and {x}vsPHI for all 31 other teams. Posts with the hashtags #photography and #nature are removed, since those commonly use #eagles without being about the team.', 'Feed for fans of the Philadelphia Eagles NFL team. Captures gameday talk, news, and posts containing hashtags like #eagles and #flyeaglesfly. GO BIRDS', ""A Baltimore Ravens Fan Community dedicated to all things Ravens, whether it's a Ravens fan, a reporter on the Raven's beat, or a national media person just simply discussing the Ravens or a Ravens player!\n\nBe sure to pin us and give us a like!""]"
239,22,239_maths_management_edusky_math,"['maths', 'management', 'edusky', 'math', 'organization', '1113', 'ergonomics', 'equityfocused', 'coremaths', 'enables']","['This feed features a community of educators and leaders for Multilingual Learners, bilingual, ESL, Languages other a than English\n #MLchat\n#edusky', '#TeamMaths for Maths teachers across the world to collaborate and share ideas and cool Maths nuggets. created by ThtPedagogyGeek.bsky.social', 'A curated feed featuring posts tagged #projectmanagement, covering everything from Agile and Scrum to IT project management, leadership strategies, and industry best practices. Stay informed on the latest trends, tools, and insights to excel in project management!']"
240,22,240_atproto_atprotocol_httpscorkiejpgithubioatprotoviewerindexhtml_developers,"['atproto', 'atprotocol', 'httpscorkiejpgithubioatprotoviewerindexhtml', 'developers', 'viewer', 'instagram', 'adopter', 'atprotocoldev', 'didwebplc', 'floded']","['Good vibes posts about ATProto.', ""ATProto feed inspired and adjacent to mackuba's ATProto@ feed. Captures all posts from @pps and services on the AT Protocol, along with ATProtocol related posts from known developers, tinkerers, and thinkers.\r\n\r\nMade with 🐮"", 'Everything about AtProto']"
241,21,241_ik_shocking_rachable_fineartamerica,"['ik', 'shocking', 'rachable', 'fineartamerica', 'acciable', 'art', 'my', 'randomized', 'america', 'id']","['my art feed', 'My Fine Art America feed. My art and designs for FineArtAmerica.', 'SHOCKING ik but heres my art feed where id have more acciable and rachable art pieces']"
242,21,242_characters_original_weve_leather,"['characters', 'original', 'weve', 'leather', 'got', 'master', 'dnd', 'lifecollection', 'valearenk', 'pawn']","['Original characters!', 'my original characters', 'my original characters']"
243,21,243_bangers_banger_treezs_demise,"['bangers', 'banger', 'treezs', 'demise', 'certified', 'eys', 'dearly', 'antimy', 'mizers', 'jaz']","['my recent bangers', 'My own bangers', 'My bangers feed']"
244,21,244_ggplot2_makeup_clay_arts,"['ggplot2', 'makeup', 'clay', 'arts', 'crafts', 'astroverse', 'mygoave', 'grandall', 'indefiniteartistoutlookcom', 'mua']","[""Welcome to MUA! A community for makeup artists to share tips, techniques, and creative inspiration. Whether you're a seasoned pro or an aspiring artist, this is the place to connect, learn, and elevate your makeup skills!"", 'ggplot2 is an awesome! Follow this feed to stay up-to-date on the latest updates and to explore data visualizations created with this versatile graphics library.\n\n→ mention `ggplot` or `ggplot2` to be featured', 'I like to experiment with different fluid art techniques and materials and follow the natural paint flow with all its unpredictability.\nThe biggest inspiration for my art is Nature, so I try to pour those colour combinations energy and beauty on canvas.']"
245,21,245_kidlitart_ridder_tmrc_deaddove,"['kidlitart', 'ridder', 'tmrc', 'deaddove', 'bg3', 'reading', 'third', 'childrens', 'knight', 'book']","['Custom KidLitArt and Picture book feed. Includes posts with tags: kidlitart, kidlitartpostcard, picturebookillustration, childrensbooks', 'Third Man Records Collectors unite! This feed follows the official TMR account along with the TMRC hashtag. Share merch, concert photos, news. As long as it\'s Third Man related it\'s all good!\n\nInclude ""#tmrc"" in your post to start a conversation!', 'Your tweet(or reply) must have ""bg3"" somewhere along with at least one of these hashtags: #deaddove #gore #guro #noncon #watersports #monsterfucking \n\nthis isn\'t an exhaustive list obviously so feel free to just use #deaddove on whatever, you can also just make a tweet looking for other 🕊️⚰️ bg3 fans!']"
246,21,246_filipino_philippines_powered_grazesocial,"['filipino', 'philippines', 'powered', 'grazesocial', 'philippine', 'pinoyfood', 'abroad', 'filipinos', 'mindanao', 'philippinerelated']","['An enhanced version of the ""Philippines, Filipino"" feed, this uses a custom algorithm to rank trending posts. Interact directly here (like, comment, repost) to amplify voices within the Filipino community.\r\n\r\nPowered by Graze.social.', 'A catch-all custom feed of all Filipino ATmosphere users from the Philippines and abroad based on hashtags.\r\n\r\nPowered by Graze.social.', 'A Feed of creators in the Philippines, or who are Filipino!']"
247,21,247_memes_meme_vandalism_airstrike,"['memes', 'meme', 'vandalism', 'airstrike', 'helau', 'fidel', 'duking', 'httpsenwikipediaorgwikispecialabusefilter614', 'alaaf', 'pinkeyesky']","['Trending memes from the whole network\n\n(""meme"" or #meme in caption. includes hidden tags. includes past 24h. Image posts only)', 'Collection of the best Memes.\nAdd ""#Meme"" to Picture.', 'Memes for content']"
248,20,248_cyberpunk_warframe_dreampunk_tracks,"['cyberpunk', 'warframe', 'dreampunk', 'tracks', 'mtg', 'mentioning', 'genre', 'formally', 'starwarsart', 'swtorfamily']","['A very basic Warframe feed which searches for any post containing ""Warframe"" in the text or image descriptions (alt text).', 'Dreampunk is a trippy subgenre of speculative fiction focused on dreamlike states and their interaction with consensus reality. It\'s basically cyberpunk\'s weird hippie cousin.\n\nTo show up here, include the word ""dreampunk"" or the following emoji combination: 😴🤯', 'A collection of posts about the cyberpunk genre, including cyberpunk genre derivatives (i.e. steampunk, solarpunk) and the Cyberpunk series by Mike Pondsmith.']"
249,20,249_protest_protests_demonstrations_cosponsor,"['protest', 'protests', 'demonstrations', 'cosponsor', 'smos', 'tiriti', 'dcstatehood', 'protesters', 'firefighting', 'belarusian']","['A list of posts with the word ""protest"" in them, newest ones first.', 'These US politicians currently side with 100% of GOP pro JimCrow/KKK’s evil ongoing “no n****rs voting in the US Senate” US #23A “Compromise” tyranny, so refuse to cosponsor current #DCstatehood bills #HR51 & #S51.\n\nDems here who cosponsor #DCstatehood will be removed from here & added to “Big Dems”', 'Skeets on Mass mobilization, mass protest, protest, contentious politics, activists, protesters, social movement, SMOs, demonstrations, #Massmobilization, #massprotest, #protest, #contentiouspolitics, #activists, #protesters, #socialmovement, #SMOs, #demonstrations,\n\nBlueskyFeedCreator.com']"
250,20,250_golf_sports_spurs_derby,"['golf', 'sports', 'spurs', 'derby', 'roller', 'betting', 'nba', 'soccer', 'broads', 'womensgolf']","['Stay updated with the latest golf trends, pro tips, tournament highlights, equipment reviews, and dream golf destinations.', ""You are in the Kross Impact Channel. We care about Sports and Youth. French and Worldwide Company. Sports'clothes& supplies. Educational Project. #NFL #NBA #NHL #Formula1 #Rugby #Soccer and many more"", ""All about Ladies' golf..  From the LPGA to amatuer women's golf. Perspective from the red tees.\n\nTo be included in this feed, don't forget to use #LadiesGolf or #WomensGolf in your post.  Spam will be blocked and removed.""]"
251,20,251_nukesky_nuclear_offensive_abolition,"['nukesky', 'nuclear', 'offensive', 'abolition', 'offtopic', 'responsible', 'nonendorsing', 'antinuclear', 'nonukes', 'atomiccabaret']","['This feed highlights content from leftist creators, mutual aid organizers, activists, labor voices, socialists, progressives, and others working toward collective liberation.', 'Data Visualization \nDataViz Charts \nBluesky Social Feed. \n\nIf this Feed is Overwhelmed and Refresh does not work, Check Back Later and Enjoy one of my Other Feeds. \n\nNon-Endorsing Curation. \nNot Responsible for Offensive, Off-Topic or InAppropriate Content.', ""NonEndorsing TPUSA Turning Point USA \nBluesky Social Feed.\n \nTurning Point USA\nhttps://en.wikipedia.org/wiki/Turning_Point_USA\n\nIf Feed is Overwhelmed & Refresh doesn't work, Check Back Later and Enjoy my Other Feeds. \n\nNot Responsible for InAppropriate, Offensive, Off-Topic or Promotinal Content.""]"
252,20,252_idaho_hampshire_legislature_happenings,"['idaho', 'hampshire', 'legislature', 'happenings', 'nebraska', 'events', 'chswx', 'emeryville', 'chsnew', 'charleston']","['A collection of progressive, left leaning groups and individuals in Wilmington, North Carolina and New Hanover County', 'Posts from and about Charleston, South Carolina. This could be news, weather, events, or most anything else. Use the hashtag #chs #chsnew or #chswx for your post to be included.', 'Less doom, more photos: A photo, art, etc feed for Idahoans. This finds photos and art about Idaho, or by Idaho Folks.']"
253,20,253_characters_original_character_cyrus,"['characters', 'original', 'character', 'cyrus', 'cait', 'bosschaikamon', 'baydews', 'gelatofrenzy', 'gungetank', 'heelal']","['Artwork featuring my original characters', 'hi i made YB YourBoyfriend Feed if anyone \nmakes art of their sonas & Peter \n& other characters lucy don TK & vio roy.', 'Art/content of my original characters']"
254,19,254_lgbtq_pertinent_amplifying_engaging,"['lgbtq', 'pertinent', 'amplifying', 'engaging', 'ruby', 'austins', 'gaytexas', 'gayaustin', 'haruseth', 'gaytx']","['Feed to compile Marvel Rivals posts on BlueSky and find LGBTQ+ community. \n\nWarning: Not all posts within this feed are from LGBTQ+ creators.', ""The Bluesky feed dedicated to Austin's LGBTQ+ community serves as a vibrant space for amplifying voices, sharing stories, and engaging in discussions pertinent to LGBTQ+ rights, culture, and experiences.  Use #gayatx, #gay512, or #gayaustin to have your post included included. Like and Follow."", 'The Bluesky feed dedicated to providing a vibrant space to LGBTQ+ Texans for amplifying voices, sharing stories, and engaging in discussions pertinent to LGBTQ+ rights, culture, and experiences. This platform encompasses a broad spectrum of content. Use #gaytx or #gaytexas to join the conversation.']"
