Topic,Count,Name,Representation,Representative_Docs,Total_Likes,Average_Likes
227,27,227_media_mixed_blenders_audiovisual,"['media', 'mixed', 'blenders', 'audiovisual', 'ompuco', 'grithors', 'yote', 'tealbitzs', 'peloriq', 'lost']","['My media!', ""Grithor's Media"", ""TeaLBiTZ's Media""]",1356,50.22
228,27,228_fashion_clothing_recycled_sustainable,"['fashion', 'clothing', 'recycled', 'sustainable', 'hfsky', 'style', 'meets', 'lolita', 'runway', 'upcycled']","['Compiled fashion posts, fashion history, outfit inspiration (controlled by list)', 'passion 4 fashion', 'All posts related to sustainable fashion. Use #sustainablefashion to be included.\n\nsustainable fashion | slow fashion | slowfashion | fast fashion | fashion | fashion industry | sustainability | ethical fashion | environment | eco friendly fashion | eco-friendly fashion | climate change']",194,7.19
229,27,229_shorts_video_vertically_gimmick,"['shorts', 'video', 'vertically', 'gimmick', 'alt4me', 'youtube', 'optional', 'videos', 'bot', 'vark']","['Shows every single longform (not shorts) YouTube video!', 'YouTube Videos (include shorts)', 'Feed of fuckass gimmick accounts that make you wonder “who the hell thinks of this?” (Jk, any gimmicks)\n\nTo me, gimmick account is NOT🚫:\n-Broadly thematic (e.g. posts cats)\n-Quirky on main (gets mad about Sonic)\n-Info/help bot (unroll bot)\n-Repost farm (reposts memes)\n\nPlease help to improve list 🙏']",389,14.41
230,27,230_commissioned_gifted_received_gifts,"['commissioned', 'gifted', 'received', 'gifts', 'won', 'digital', 'clay', 'acrylic', 'arts', 'trades']","['Artwork that was gifted to me or that I commissioned from other amazing artists!', 'Art that I commissioned, won, gifted, etc <3', 'Art I commissioned or received as gifts!']",29,1.07
231,26,231_vegan_gluten_vegetarian_recipes,"['vegan', 'gluten', 'vegetarian', 'recipes', 'recipe', 'httpsbskydazzletools', 'query', 'plantbased', 'veganism', 'celiac']","['This feed highlights posts that combine humor and vegan-related terms. It features vegan humor hashtags like #veganhumor and #veganmeme, along with posts pairing vegan keywords such as ""vegan"" or ""plant-based"" with humor-related words like ""funny,"" ""lol,"" or ""joke.""', 'Links to vegetarian and vegan recipes.', ""A catch all 'vegan' feed. If your posts contains the word vegan anywhere, it will appear.""]",751,28.88
232,26,232_blueskybaddiesbskysocial_httpsbskyappprofiledidplcdb645kt5coo7teuoxdjhq34xfeedaaamkr6xjlwb2_followed_petaltech,"['blueskybaddiesbskysocial', 'httpsbskyappprofiledidplcdb645kt5coo7teuoxdjhq34xfeedaaamkr6xjlwb2', 'followed', 'petaltech', 'petaltechbskysocial', 'httpsbskyapphashtagrffupdatesauthorsingingpigsonline', 'rosemarrowbskysocial', 'opendata', 'neighborhood', 'vertiblue']","['@rosemarrow.bsky.social and those around them!\r\n\r\nCreated by Petaltech. Message @petaltech.bsky.social to apply for a Neighborhood Feed of your own!', '@nervousdriver.bsky.social and those around them!!\r\n\r\nCreated by Petaltech. Message @petaltech.bsky.social to apply for a Neighborhood Feed of your own!', '@rosemarrow.bsky.social and those anywhere around them!!\r\n\r\nCreated by Petaltech. Message @petaltech.bsky.social to apply for a Neighborhood Feed of your own!']",1262,48.54
233,26,233_sph_nsfw_featuring_pussy,"['sph', 'nsfw', 'featuring', 'pussy', 'perform', 'curated', 'dildo', 'erotic', 'toys', 'ass']","['A curated feed of NSFW posts featuring pussy.', 'NSFW porn with a focus on huge toys, XL dildos, and fantasy toys. (wip lol)\r\n\r\nsize queen | fantasy dildo | #dongsky | big toy | hude dildo\r\n\r\n👉 verified adult creators only\r\n👉 curated and moderated feed\r\n👉 use #monsterfucker or #sizequeen to be included', 'NSFW, 18+, XXX\r\n\r\nExplicit 🔞 Pussy, vagina, lady bits, yoni, cunt, coochie, hooha, minge, snatch, etc. You know what it is.\r\n\r\nVerified creators only! Get approved: babesky.com/join\r\n\r\nIncludes media tagged with #pussy #pussyLips #labia #wetPussy #wetAssPussy #spreadPussy #perfectPussy']",753,28.96
234,26,234_blondes_canuck_httpsbskyappprofiledidplc5nzxfyfzzs3qyjddxx374lpnlists3lbpfwepcmo2e_backwards,"['blondes', 'canuck', 'httpsbskyappprofiledidplc5nzxfyfzzs3qyjddxx374lpnlists3lbpfwepcmo2e', 'backwards', 'ergo', 'hn', 'ranking', 'my', 'ml', 'orgs']","['My Canuck Feed', 'Feed of #ergo accounts sorted by HN Ranking (1.8)', 'Blondes, blondes, blondes ♡\nA feed of those whose hair color helps them have more fun!']",9,0.35
235,26,235_blueskyfeedcreatorcom_artfight_artistsway_benzene,"['blueskyfeedcreatorcom', 'artfight', 'artistsway', 'benzene', 'camerons', 'httpsartfightnetjupitism', 'niksie', 'midna', 'seeing', 'prob']","['a place to store my artfight stuff! you can find all my cool artfight posts here as well as on the site at https://artfight.net/~jupitism .\n\nBlueskyFeedCreator.com', 'I just want a shortcut to seeing Midna art\n\nBlueskyFeedCreator.com', ""A place to discuss (or gush about) the Julia Cameron's Artist's Way.   Use #ArtistsWay in your post to have it captured here.\n\nBlueskyFeedCreator.com""]",13,0.5
236,26,236_trail_hiking_climbing_hikers,"['trail', 'hiking', 'climbing', 'hikers', 'mountains', 'mountaineering', 'thruhiking', 'backpackers', 'trekking', 'split']","['All things trail building. Must include a photo of video. Use these to show up in the Trail Building feed: #trailbuilding, #trailbuilder, #trailtool, #trailvolunteer, #trailbuilingmachine, #trail buildinghandtool, #trailprofessional\n\nBlueskyFeedCreator.com', 'All things John Muir Trail 🏞️\r\nA place for hikers, backpackers, thru-hikers or anyone just looking for inspiration.\r\nUse: #JohnMuirTrail #JMT #JMT2025 or mention John Muir Trail\r\nMore info: https://blueskyfeedcreator.com/p/mountainscalling.me/john-muir-trail', 'Bringing together a community of hikers and backpackers from around the world. This feed is all things hiking and backpacking, one trail at a time. -New to feeds and Bluesky, testing this one out.']",394,15.15
237,25,237_trigger_model_abbreviations_codes,"['trigger', 'model', 'abbreviations', 'codes', 'topic', 'propublica', 'datelondon', 'towns', 'like', 'datecardiff']","['To trigger this feed, use #DateInternational, #DateNewYork, #DateLosAngeles, #DateToronto, #DateLondon, #DateParis, #DateBerlin, #DateRome, #DateAmsterdam, #DateTokyo, #DateOsaka, #DateSeoul, #DateSingapore, or use abbreviations! This feed covers North America, Europe, and the Asia-Pacific region.', 'To trigger this feed, use hashtags like #DateEngland, #DateLondon, #DateManchester, #DateLeeds, or codes like #DateLDN, #DateMAN, #DateLDS, #DateBIR. This feed includes top towns and cities across England.', 'To trigger this feed, use hashtags like #DateUK, #DateLondon, #DateManchester, #DateGlasgow, #DateCardiff, or abbreviations like #DateLDN, #DateMAN, #DateGLA, #DateCAR, #DateBEL. Covers major towns across England, Scotland, Wales, and Northern Ireland.']",34,1.36
238,25,238_archtober_wholesome_apologyetc_newskies,"['archtober', 'wholesome', 'apologyetc', 'newskies', 'lisp', 'speach', 'paiges', 'tweeks', 'wiredcom', 'woohoo']","['Place For Me To Put All My Recent Sorcerers Wisdom Posts. If You Found It Woohoo, but its more or less a personal feed.', 'Feed for Archtober 2024 posts using #archtober2024 or #archtober. Pulls posts from the past week.', 'fork of emacs feed that does not remove replies and tweeks regex to minimize lisp as speach impediment instead of language.\n\npublished with same licence as required']",38,1.52
239,25,239_government_sites_links_trending,"['government', 'sites', 'links', 'trending', 'german', 'brazil', 'mexican', 'spain', 'china', 'facts']","['Trending posts with links from UK Government sites.', 'Posts with links to U.S. Government sites.', 'Trending posts with links to U.S. Government sites.']",12,0.48
240,25,240_tennis_wta_atp_match,"['tennis', 'wta', 'atp', 'match', 'tournament', 'performances', 'highlights', 'alcaraz', 'tenis', 'arsenal']","['A curated tennis feed delivering quality content— with no off-topic posts or spam.\r\n\r\nGet the latest on players, live updates, and major events like the upcoming US Open from the ATP & WTA tours.', ""curated feed. women's tennis."", 'Tennis, tenis, WTA, ATP. Displays the last seven days.\nPS: Add tennis, tenis, WTA, ATP to your posts, so I can find you easier. If questions, ask @podolniksr.bsky.social, like if you like.']",1435,57.4
241,25,241_bkdk_bkdkbk_talavera_threads,"['bkdk', 'bkdkbk', 'talavera', 'threads', 'draeyad', 'yeonbin', 'fic', 'whims', 'crybaby', 'ao3']","['All BkDk stuff from the past 7 days (includes NSFW)', 'For BkDk posts!', 'BkDk Threads']",671,26.84
242,25,242_laughter_wolf_joyful_whimsical,"['laughter', 'wolf', 'joyful', 'whimsical', 'fills', 'smile', 'spice', 'ace', 'alisa', 'angelic']","['ㅤ\n\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0⊹  ꒰১ ˖  ࣪  ᧔ 🍓 ᧓  ࣪   ⊹\n\n\xa0\xa0\xa0\xa0\xa0\xa0 𝒜 whimsical garth of abundant\n\xa0\xa0\xa0\xa0\xa0\xa0 buds filled  with  delicate  𝑠͟𝑐͟𝑒͟𝑛͟𝑡\n\xa0\xa0\xa0\xa0\xa0\xa0 of  strawberry  and  laughter of\n\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0joyful 𝖻͟𝗎͟𝗇͟𝗇͟𝗒.\nㅤ\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0     \xa0\xa0\xa0\xa0\xa0‿  ۫  ׅ  ⊹ 🐇\nㅤ', 'ㅤ     \nㅤ     relish the days of carefree wonder, \nㅤ     where laughter fills the air, dreams \nㅤ     have no limits, and every moment \nㅤ     is a joyful adventure waiting to unfold.\nㅤㅤ', 'ㅤ     \nㅤ     savor whimsical moments brimming \nㅤ     with laughter, boundless creativity, \nㅤ     and endless merriment. every game \nㅤ     is an escapade, every smile a cherished \nㅤ     memory.\nㅤ']",34,1.36
243,24,243_bangers_banger_hits_greatest,"['bangers', 'banger', 'hits', 'greatest', 'treezs', 'certified', 'antimy', 'bangles', 'ditchponys', 'dearly']","['my recent bangers', 'My own bangers', 'My bangers feed']",201,8.38
244,24,244_me_catman_rechi_snowysnowriel,"['me', 'catman', 'rechi', 'snowysnowriel', 'lycans', 'aryns', 'sqrl', 'smells', 'mistria', 'artshares']","['Art by me', 'Art by me!✨', 'Here you can see all the lycans and other creatures and Monsters I draw.']",63,2.62
245,24,245_stuff_title_eee_entropy,"['stuff', 'title', 'eee', 'entropy', 'steamold', 'justforme', 'look', 'yippieee', 'howdy', 'orz']","['my stuff', 'my stuff', 'my stuff']",84,3.5
246,24,246_uniburi_1999_historyir_croverfield,"['uniburi', '1999', 'historyir', 'croverfield', 'metalocalypse', 'smokescreen', 'ir', 'text', 'reverse', 'alt']","['Experimental Feed to hopefully put some UniBuri posts together in one place.\n\nFeed currently looks for the tags Bridget, Unika and Uniburi, with a RegEx looking for Uniburi in post text and alt text.', 'A feed for the Reverse comunity\n\ntags:\nreverse1999\nreverse 1999\nreverse: 1999\nre1999\nre 1999\nr1999', 'A feed that includes posts that feature the following tags in the post or alt text (only displays posts with media content): bondage, restraints, shibari, kimbaku, semenawa, strappado, futomomo, ropesuspension, bondagesuspension, leatherbondage, steelbondage, gagged, hooded']",518,21.58
247,24,247_spire_xcom_sigmori_xillia,"['spire', 'xcom', 'sigmori', 'xillia', 'robin', 'titan', 'aurora', 'belongs', 'ship', 'attack']","['The Sloane Chronicles: Rising Tides\n\nI was hesitant to call this a legacy; I know my track record. What I plan, however, is an ongoing series of the Sloanes - however many there may be!\n\nAspen returns to Sulani to learn more about her family, but discovers much more about herself in the process!', 'ship feed for Robin Suhe and Aurora Mogfriend, two Warriors of Light who met as little lost boys in the Black Shroud ♥️ tagged with #roroshipping\n\n(Robin belongs to me, Aurora belongs to @nannelflannel)', ""Sorted by what's hot of the week. All mainline games in Bandai Nacmo's Tales of (「テイルズ オブ」シリーズ) franchise.\n\nIncluding: Phantasia, Destiny, Eternia, Destiny 2, Symphonia, Rebirth, Legendia, Abyss, Innocence, Vesperia, Hearts, Graces, Xillia, Xillia 2, Zestiria, Berseria, Arise.""]",107,4.46
248,24,248_covid_immunology_fluoroquinolone_antigen,"['covid', 'immunology', 'fluoroquinolone', 'antigen', 'tox', 'nucleocytoviricota', 'presentation', 'research', 'diagnosis', 'mathematical']","['Science|Immunology|Molecular biology\n\nA feed on antigen presentation.\n\nNot curated. Search keywords:\nMHC, antigen presentation, cross-presentation\n\nUse #MHCsky to add your post', 'Posts about computational, mathematical, and mechanistic modeling with a focus on clinical and pre-clinical research. Includes systems biology, quantitative systems pharmacology, mathematical biology, annd integrative physiology.', 'Trauma-sensitive\n\nCollect fqtawarenessday, fqtawareness, fqad, fluoroquinolone associated disability, fqtox, floxed, geflox, , floxies, fluoroquinolon + tox or damag or aware, fluorchinolon + vergift or schäd or aware, fluoroquinolonetox, fluoroquinolone tox']",213,8.88
249,24,249_motor_vaneck_volkswagen_bluestocksapp,"['motor', 'vaneck', 'volkswagen', 'bluestocksapp', 'rollsroyce', 'spamfiltered', 'investors', 'automotive', 'relevant', 'latest']","['The latest posts about VanEck (SMH). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app', 'The latest posts about VanEck Junior (GDXJ). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app', 'The latest posts about VanEck Gold Miners (GDX). Spam-filtered and relevant for investors.\n\nBy @bluestocks.app']",20,0.83
250,24,250_olympics_nz_aotearoa_zealand,"['olympics', 'nz', 'aotearoa', 'zealand', 'paris2024', 'auckland', 'wellington', 'parks', 'boat', 'olympic']","['The Olympics feed\r\n\r\n#Paris24 #LA28 #Olympics #TheOlympics', 'This is a feed for people from Aotearoa NZ to share photos or stories of their pets. You can use any of the hashtags #aonzpets #aotearoapets #nzpets #petsnz #mokai #mōkai to have your post collected in the feed, or tag your post with these emojis: 🐱🇳🇿 🐶🇳🇿\r\n(nz pets)\r\n\r\nBlueskyFeedCreator.com', 'Olympics Australian feed.\nMy attempt to follow Olympic coverage with an Australian focus. Follows general mentions like Olympics and Paris2024 and also Australian themed matches like AllezAUS.']",310,12.92
251,24,251_tattoo_tattoos_domzilla9bskysocial_indiana,"['tattoo', 'tattoos', 'domzilla9bskysocial', 'indiana', 'artists', 'studios', 'vancouver', 'kentucky', 'creator', 'added']","['- Tattoo Artists of Kentucky\n- The latest work from Kentucky Tattoo artists!\n\nMessage @domzilla9.bsky.social to be added to this list.', '- Tattoo Artists of Indiana\n- The latest work from Indiana Tattoo artists!\n\nMessage @domzilla9.bsky.social to be added to this list.', 'tattoo feed']",88,3.67
252,23,252_chilloutvr_twewy_roleplayer_migwen,"['chilloutvr', 'twewy', 'roleplayer', 'migwen', 'ntwewy', 'crossing', 'roguetrader', 'pastebincomraw1tbwltlf', 'elegans', 'ghostfang']","['FEED FOR ALL CODE GEASS TITLE + CHARACTER + SHIP TAGS, EXCLUDING AI ART\n\nsometimes thing breaks . its bskys or skyfeeds fault, i dont touch this thing', 'This Feed Create only For ROLEPLAYER to find another ROLEPLAYER. \n\nUSE #BRP IF YOU ARE ROLEPLAYER ACC.', ""Feed for TWEWY & NTWEWY posts! Searches for #TWEWY, #NTWEWY, #NeoTWEWY, #TheWorldEndsWithYou, #NeoTheWorldEndsWithYou from Feb 23, 2024 onwards. Excludes reposts.\n\nI'm new to building feeds so please contact me if there are any issues or if other TWEWY tags should be added.""]",376,16.35
253,23,253_typo3_klance_llm_whole,"['typo3', 'klance', 'llm', 'whole', 'chrome', 'kony', 'hunsky', 'krfeed', 'weirdcartwitter', 'openstreetmap']","[""Collecting all posts that contain the hashtag #Kony2012. To raise awareness. Let's make Joseph Kony famous in 2012, people!"", 'A feed for browser extension related topics, mainly chrome extensions. Had to filter out sky follower bridge ones as they are understandably too popular :)', ""A feed for my klance friends. That's Keith and Lance from Voltron: Legendary Defender (VLD). This feed looks for posts tagged #klance from the past 7 days.\n\nReplies & antis filtered. Always refining for better results""]",301,13.09
254,23,254_nafomeme_collecton_inpiration_fromily,"['nafomeme', 'collecton', 'inpiration', 'fromily', 'clutches', 'httpsvtbagdev', 'maelstrom', 'paragliding', 'scrabble', 'mugr0513']","[""This feed was made by Mark Komodo to be very effective on his social media usage. This feed isn't perfect, so be mindful there may be some content you dislike."", 'In this custom feed, you will find my main feed cleaned of reskeets, quotes, images, and other visual distractions. \n\nOnly your thoughts and opinions laid bare and free from the clutches of the social media maelstrom.', 'Uncurated Feed for NAFO Propaganda.\n- use #NAFOMeme or #NAFOMemes  in your Post  to add content (not case sensitive).\n\nContent posted in the last 7 days with the #NAFOMeme will be visible.']",122,5.3
255,23,255_migrainechat_doi_pubmed_research,"['migrainechat', 'doi', 'pubmed', 'research', 'health', 'preprint', 'idsky', 'migrainesky', 'origional', 'migrainerelated']","['A feed to discuss all things migraine and follow the #MigraineChat community. \nHave a migraine-related question or need to vent? Add MigraineChat to your post to be included in feed. Will also pick up MigraineSky. Not case sensitive, # not necessary (but works).', 'Most liked, commented, and reposted articles about health research\r\nSearched mostly by DOI, Pubmed and others identifiers.\r\n\r\n#medsky #research #Health', 'Most liked, commented, and reposted articles about health research in the last 7 days\r\nSearched mostly by DOI, Pubmed and others identifiers.\r\n\r\n#medsky #research #Health']",1223,53.17
256,23,256_description_test_procedure_tps,"['description', 'test', 'procedure', 'tps', 'procedures', 'occasionally', 'describes', 'specification', 'assurance', 'surprise']","['Test Feed Description 🕒', 'Test Feed Description 📈', 'Test Feed Description 🕒']",3,0.13
257,23,257_warcraft_azeroth_blizzard_phaidei,"['warcraft', 'azeroth', 'blizzard', 'phaidei', 'warhammer', 'heart', 'daggerheart', 'world', 'kdrama', 'battles']","['Step into Azeroth through art! From stunning landscapes to heroic fan pieces, this feed showcases the creative heart of the «WarCraft» and «World of Warcraft» community!\r\n\r\nUnofficial and not by Blizzard.\r\n\r\nPowered by Graze.social.', 'Relive the battles, stories, and legends of «WarCraft» and «World of Warcraft» through epic videos, cinematics, and fan creations. Immerse yourself in the world of Azeroth!\r\n\r\nCommunity-made, not affiliated with Blizzard.\r\n\r\nPowered by Graze.social.', 'From «WarCraft» to «World of Warcraft», explore the rich lore, epic battles, fan creations, and latest updates from across the entire franchise. A community-driven feed celebrating Azeroth and beyond.\r\n\r\nUnofficial, not by Blizzard.\r\n\r\nPowered by Graze.social.']",301,13.09
258,22,258_alt_text_tool_stickleback,"['alt', 'text', 'tool', 'stickleback', 'tarotsky', 'soup', 'requests', 'esron', 'feelin', 'alttex']","['All post related to the visual novel ""What\'s wrong with Sunny Day Jack"" it\'s activated by # and Key words in post and alt text, such as:\n\nSunnyDayJack - sunnydayjackau - etc.\n\nThis feed it\'s a work in progress so help will be apreciated.', ""Finds user requests for alt text. Here's the catch: these are only requests sent to the alt text bot.\r\n\r\nTo exclude any post from the feed use one of: nofeed, noaltfeed, or /alt4me.\r\n\r\nbuilt with graze.social"", ""i read the alt text, then i read the alt text discourse\r\nthen i read the video captions if i'm feelin' frisky\r\n\r\nmade with skyfeed.app\r\ninadvertently destroyed 'cause i'm clumsy\r\nrebuilt on graze.social""]",102,4.64
259,22,259_atproto_atprotocol_developers_floded,"['atproto', 'atprotocol', 'developers', 'floded', 'atprotocolactivitypub', 'backstreet', 'backstreetalley', 'coremaths', 'atprotorelated', 'mathvac']","['Good vibes posts about ATProto.', ""ATProto feed inspired and adjacent to mackuba's ATProto@ feed. Captures all posts from @pps and services on the AT Protocol, along with ATProtocol related posts from known developers, tinkerers, and thinkers.\r\n\r\nMade with 🐮"", 'Everything about AtProto']",117,5.32
260,22,260_mystic_messenger_jumin_jaehee,"['mystic', 'messenger', 'jumin', 'jaehee', 'choi', 'neigh', 'saeyoung', 'unfortunately', 'magic', 'pauper']","[""This feed collects most Jumin Han related posts for the last week.\n\nUnfortunately Jumin is a common tag outside of Mystic Messenger, so posts with only that word won't show up."", ""This feed collects most Saeyoung Choi/707 related posts for the last week.\n\nUnfortunately 707, saeyoung, luciel, choi etc.are very common tags outside of Mystic Messenger, so posts with only individual words won't show up."", ""This feed collects most Jaehee Kang from Mystic Messenger related posts from the last week.\n\nUnfortunately Jaehee is a somewhat common tag outside of Mystic Messenger, so posts with only that word won't show up.""]",222,10.09
261,22,261_ummm_sir_yeah_ok,"['ummm', 'sir', 'yeah', 'ok', 'youll', 'first', 'see', '', '', '']","['Ok.', 'sir,', 'Ummm... yeah.']",40,1.82
262,22,262_best_wristy_pixie_satisfied,"['best', 'wristy', 'pixie', 'satisfied', 'worse', 'got', 'overall', 'hollow', 'born', 'proud']","['Only the Best', 'the best', 'All the best posts']",51,2.32
263,22,263_filipino_philippines_powered_philippine,"['filipino', 'philippines', 'powered', 'philippine', 'grazesocial', 'pinoyfood', 'abroad', 'philippinerelated', 'mindanao', 'filipinos']","['An enhanced version of the ""Philippines, Filipino"" feed, this uses a custom algorithm to rank trending posts. Interact directly here (like, comment, repost) to amplify voices within the Filipino community.\r\n\r\nPowered by Graze.social.', 'A catch-all custom feed of all Filipino ATmosphere users from the Philippines and abroad based on hashtags.\r\n\r\nPowered by Graze.social.', 'A Feed of creators in the Philippines, or who are Filipino!']",222,10.09
264,22,264_skeet_skeets_term_voidpunk,"['skeet', 'skeets', 'term', 'voidpunk', 'chd', 'otherkin', 'patients', 'tulpamancers', 'scalemodel', 'aiartcommunity']","['Basic Tech skeet feed, for skeets tagged with #tech', 'This feed is for otherkin. To skeet in this feed, use the term otherkin or a more specific otherkinrelated term.', 'This feed is for CHD patients, loved ones of CHD patients, cardiologists and everyone else who is interested in CHDs.\n\nTo skeet in this feed, use the term congenital heart defect or a term for a specific CHD.']",1162,52.82
265,21,265_memes_meme_nafo_freemasons,"['memes', 'meme', 'nafo', 'freemasons', 'pinkeyesky', 'shit', 'voss', 'camel', 'femmes', 'kara']","['Trending memes from the whole network\n\n(""meme"" or #meme in caption. includes hidden tags. includes past 24h. Image posts only)', 'All Memes All The Time\n\nMeme pics only and nothing else!', 'Memes for content']",194,9.24
266,21,266_httpsbskydazzletools_query_make_own,"['httpsbskydazzletools', 'query', 'make', 'own', 'btc', 'poe2', 'factorio', 'mangione', 'bitwig', 'luigi']","['query: #booksky\n\nmake your own feed at https://bsky.dazzle.tools', 'query: #art\n\nmake your own feed at https://bsky.dazzle.tools', 'query: btc\n\nmake your own feed at https://bsky.dazzle.tools']",87,4.14
267,21,267_reupload_training_artai_prohibited,"['reupload', 'training', 'artai', 'prohibited', 'yamatanochinkobskysocial', 'dorotoro3bskysocial', 'aido', 'ai', 'reproduction', 'do']","['🔞NSFW🔞\u3000共同創作ログ\n共同創作ヤンキー\u3000停学組（🌋💣5️⃣🫧🧊）\n🔞CP要素\u3000BDSMｶｯﾌﾟﾙ\n篠崎拳剛\u3000ｼﾉｹﾝ🌋（ @yamatanochinko.bsky.social ）\n×\n新見桃哉\u3000ﾓﾓ💣（ @dorotoro3.bsky.social ）\n⚠️画像無断転載️禁止Do not reupload my art.\n⚠️ AI学習禁止Do not use my art for AI training.', '自作の刀剣短歌をまとめています。\n無断転載盗用AI学習禁止。\nDo not use my art for AI training.\nDo not reupload my art.', 'かいたものをまとめている\n※無断転載禁止/AI学習禁止\n※Do not reupload my art./Do not use my art for AI training.']",29,1.38
268,21,268_renders_filmmaker_source_characters,"['renders', 'filmmaker', 'source', 'characters', 'featuring', 'bandicoot', 'crash', 'hollow', 'knight', 'greimneorukix']","['My Source Filmmaker renders featuring characters from Super Mario.', 'My Source Filmmaker Renders featuring characters from Sonic the Hedgehog.', 'My Source Filmmaker renders featuring characters from Pokémon.']",50,2.38
269,21,269_ik_shocking_rachable_fineartamerica,"['ik', 'shocking', 'rachable', 'fineartamerica', 'acciable', 'art', 'my', 'randomized', 'america', 'id']","['My art feed', 'My Fine Art America feed. My art and designs for FineArtAmerica.', 'SHOCKING ik but heres my art feed where id have more acciable and rachable art pieces']",40,1.9
270,21,270_progress_work_works_doublepenetration,"['progress', 'work', 'works', 'doublepenetration', 'praying', 'dp', 'teasers', 'broken', 'testing', 'gathers']","['a work in progress', 'Work in progress...', 'work in progress']",165,7.86
271,21,271_lions_pwhl_detroit_onepride,"['lions', 'pwhl', 'detroit', 'onepride', 'womens', 'hockey', 'allgrit', 'eg', 'basketball', 'timberwolves']","['Posts that include ""Detroit Lions"", #Lions, or #OnePride, as well as all posts from the Lions Bluesky account (detroitlions.bsky.social)', 'A complete Detroit Lions Bluesky Feed. Includes all mentions of ""Detroit Lions"", hashtags #Lions, #OnePride, and #AllGrit, as well as posts from reputable Lions media.', 'A complete Detroit Lions Bluesky Feed. Includes all mentions of ""Detroit Lions"", hashtags #Lions, #OnePride, and #AllGrit, as well as posts from reputable Lions media.']",681,32.43
272,21,272_heartbreak_cyberpunk_geek_prompt,"['heartbreak', 'cyberpunk', 'geek', 'prompt', 'httpsbluefactsappfeedbuilder', 'computing', 'create', 'xbox', 'buyout', 'genreaesthetic']","['Explore posts about Silksong, including gameplay, tips, bosses, lore, and alternate nicknames (skong, folfson).\n\nCreate your own feed with https://bluefacts.app/feed-builder', 'A feed of posts about the TV Show Heartbreak High. Chronological, past week, English. To be included use Heartbreak High in your post. #, space, or no space work!', 'Join fellow fans of the hit dating show ""Love Is Blind"" in this exciting space to discuss all things related to the series! Share your thoughts on the latest episodes, dissect the relationships, and speculate on future twists.']",290,13.81
273,21,273_placed_combos_hub_ever,"['placed', 'combos', 'hub', 'ever', 'clips', 'youll', 'tech', 'sure', 'need', 'make']","[""Welcome to the Honda hub for all things Edmond!\n\nCombos, Clips, Tech, all you'll ever need from the community, just make sure to use #SF6_EHonda to have your post placed in this feed."", ""Welcome to the Sim hub for all things Dhalsim!\n\nCombos, Clips, Tech, all you'll ever need from the community, just make sure to use #SF6_Dhalsim to have your post placed in this feed."", ""Welcome to the Mighty hub for all things Bison!\n\nCombos, Clips, Tech, all you'll ever need from the community, just make sure to use #SF6_MBison to have your post placed in this feed.""]",14,0.67
274,21,274_armys_bts_wecops_rvb,"['armys', 'bts', 'wecops', 'rvb', 'genhour', 'lost', 'tiki', 'cheese', 'army', 'borafamily']","['Feed created with the purpose to gather all informations and updates related to BTS and ARMYS.\r\n\r\n=> Add #btsupdates to have your post appear in the Feed.\n\nBlueskyFeedCreator.com', ""A very rudimentary RvB feed, since I couldn't find any! It uses the tags #rvb #redvsblue and #projectfreelancer !\n\nIt's unfiltered since I mainly made it for me, so there may be sensitive content on the feed. Please moderate yourself, and manage your filtered content in your settings. Ty!"", 'BTS ARMYs who don\'t mind making their borafamily cry, sharing hurtful truths.\n\nIntend to keep the ranking updated. No promises are being made!\n\nComment/quote ⛳ to insert post.\n\n*Good ol\' good nature ""Rep0rt and bl0ck"", but folks here may get the wrong idea!\n\nReport any suspicious posts to mod.\n\n#BTS']",177,8.43
275,21,275_mute_list_enemys_moots,"['mute', 'list', 'enemys', 'moots', 'not', 'greens', 'httpsbskyappprofiledidplczhgvucvplp3igy2szngckpvxlists3k7iufqyq2j2u', 'chucks', 'tying', 'sience']","['NOT a mute list. my arts and social list', 'NOT a mute list. following for fun', 'NOT a mute list. my IT things']",93,4.43
